mobile_id;point_id;lat;lon;
MOB001;10;36.4724282;-6.1906858;
MOB001;11;36.4724282;-6.1906858;
MOB001;12;36.4724773;-6.1906539;
MOB001;13;36.4724822;-6.1906634;
MOB001;14;36.4724822;-6.1906634;
MOB001;15;36.4724822;-6.1906634;
MOB001;16;36.4724337;-6.1906878;
MOB001;17;36.4724845;-6.1906618;
MOB001;18;36.4724845;-6.1906618;
MOB001;19;36.4724845;-6.1906618;
MOB001;20;36.4724845;-6.1906618;
MOB001;21;36.4724842;-6.1906616;
MOB001;22;36.4724842;-6.1906616;
MOB001;23;36.4724302;-6.1906611;
MOB001;24;36.4724302;-6.1906611;
MOB001;25;36.4724114;-6.190682;
MOB001;26;36.4724306;-6.1906945;
MOB001;27;36.4724306;-6.1906945;
MOB001;28;36.4724602;-6.1906702;
MOB001;29;36.472482;-6.1906431;
MOB001;30;36.472482;-6.1906431;
MOB001;31;36.4724337;-6.1906619;
MOB001;32;36.4724369;-6.1906831;
MOB001;33;36.4724369;-6.1906831;
MOB001;34;36.4724369;-6.1906831;
MOB001;35;36.4724851;-6.1906777;
MOB001;36;36.4724851;-6.1906777;
MOB001;37;36.4724851;-6.1906777;
MOB001;38;36.4724344;-6.1906629;
MOB001;39;36.4724344;-6.1906629;
MOB001;40;36.4724344;-6.1906629;
MOB001;41;36.4724441;-6.190675;
MOB001;42;36.4724441;-6.190675;
MOB001;43;36.4724441;-6.190675;
MOB001;44;36.4724771;-6.1906601;
MOB001;45;36.4724771;-6.1906601;
MOB001;46;36.4724771;-6.1906601;
MOB001;47;36.4724609;-6.1906824;
MOB001;48;36.4724609;-6.1906824;
MOB001;49;36.4724609;-6.1906824;
MOB001;50;36.4724537;-6.1906747;
MOB001;51;36.4724537;-6.1906747;
MOB001;52;36.4724537;-6.1906747;
MOB001;53;36.4724795;-6.1906789;
MOB001;54;36.4724795;-6.1906789;
MOB001;55;36.4724795;-6.1906789;
MOB001;56;36.4724606;-6.1906867;
MOB001;57;36.4724606;-6.1906867;
MOB001;58;36.4724606;-6.1906867;
MOB001;59;36.4724562;-6.1906733;
MOB001;60;36.4724562;-6.1906733;
MOB001;61;36.4724562;-6.1906733;
MOB001;62;36.4724696;-6.1906756;
MOB001;63;36.4724696;-6.1906756;
MOB001;64;36.4724696;-6.1906756;
MOB001;65;36.472443;-6.1906975;
MOB001;66;36.472443;-6.1906975;
MOB001;67;36.472443;-6.1906975;
MOB001;68;36.4724368;-6.1906567;
MOB001;69;36.4724368;-6.1906567;
MOB001;70;36.4724368;-6.1906567;
MOB001;71;36.4724788;-6.1906457;
MOB001;72;36.4724788;-6.1906457;
MOB001;73;36.4724788;-6.1906457;
MOB001;74;36.4724996;-6.190674;
MOB001;75;36.4724996;-6.190674;
MOB001;76;36.4724996;-6.190674;
MOB001;77;36.4724323;-6.1907044;
MOB001;78;36.4724323;-6.1907044;
MOB001;79;36.4724323;-6.1907044;
MOB001;80;36.4724428;-6.1906841;
MOB001;81;36.4724527;-6.1906881;
MOB001;82;36.4724527;-6.1906881;
MOB001;83;36.4724527;-6.1906881;
MOB001;84;36.4724527;-6.1906881;
MOB001;85;36.4724946;-6.1906729;
MOB001;86;36.4724946;-6.1906729;
MOB001;87;36.4724946;-6.1906729;
MOB001;88;36.4724847;-6.1906545;
MOB001;89;36.4724847;-6.1906545;
